Race,Gender,Ethnicity,BeginDate,EndDate,LOS,AA,Wellness,SSM,VITotal,VIFamily,VISingle,VIHistory,VIRisk,VIDaily,VIWellness,VIFamilyUnit,Outcome,HousingPlacement,Family,JobPlacement,JobTraining,CriminalHistory,Issues,ChronicHomeless,CaseMgmt,PartnerServices,Recidivism,AgeEntry,AgeExit,IssueScore,CrimeScore,Exit,EarnedExit,BenefitsExit,PSH,HPOutcome
0,1,0,7/29/2010,8/2/2011,369,0,0,26,-99,-99,-99,-99,-99,-99,-99,-99,1,1,0,0,0,1,1,0,0,34,0,53,54,11,1,874,0,0,0,1
0,1,1,7/29/2010,4/20/2011,265,0,0,28,-99,-99,-99,-99,-99,-99,-99,-99,1,1,0,0,1,0,0,0,0,4,0,58,59,0,0,800,0,0,0,1
0,0,0,7/29/2010,5/9/2011,284,0,0,34,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,0,1,0,0,0,0,0,5,0,44,45,0,0,0,0,0,0,1
1,1,0,2/28/2013,2/28/2013,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,1,1,0,0,0,1,28,28,19,3,0,0,0,0,0
0,0,0,2/14/2011,9/23/2011,221,1,0,30,-99,-99,-99,-99,-99,-99,-99,-99,1,0,0,1,0,0,1,0,0,5,1,48,49,4,0,1200,1200,0,0,1
0,1,1,3/30/2012,6/5/2012,67,0,0,34,-99,-99,-99,-99,-99,-99,-99,-99,-1,0,0,1,0,0,1,0,5,2,1,31,31,7,0,800,800,0,0,0
0,1,1,8/2/2010,9/8/2010,37,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,0,0,0,0,18,18,4,0,0,0,0,0,0
0,1,1,6/8/2012,8/9/2012,62,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,1,1,0,0,5,1,60,60,29,3,0,0,0,0,0
0,1,1,7/29/2010,8/9/2010,11,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,46,46,0,0,0,0,0,0,0
1,0,0,8/23/2010,5/2/2011,252,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,0,1,0,1,0,1,0,0,5,0,38,39,0,0,600,0,0,0,0
0,1,1,7/29/2010,9/14/2010,47,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,0,1,0,0,0,0,32,32,6,0,0,0,0,0,0
0,0,1,7/29/2010,9/14/2010,47,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,1,0,0,0,0,0,21,21,0,6,0,0,0,0,0
0,0,1,8/15/2013,10/22/2013,68,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,0,0,0,0,1,1,10,8,0,51,51,19,0,0,0,2,1,1
1,1,0,8/31/2010,10/27/2011,422,0,0,28,-99,-99,-99,-99,-99,-99,-99,-99,-1,0,0,1,1,0,0,0,0,10,1,20,21,0,0,160,160,0,0,0
0,1,0,7/30/2010,7/30/2010,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,1,0,0,1,58,58,3,0,0,0,0,0,0
0,0,1,7/30/2010,8/11/2010,12,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0
1,1,0,7/30/2010,11/15/2010,108,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,1,0,0,1,53,54,5,0,0,0,0,0,0
0,0,0,11/20/2012,9/23/2013,307,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,0,0,0,0,0,0,1,36,23,0,48,48,0,0,0,0,1,0,0
1,1,0,7/30/2010,9/3/2010,35,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,0,0,0,0,61,61,5,0,798,0,0,0,0
0,0,1,7/30/2010,3/19/2011,232,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,0,0,3,1,26,27,6,0,0,0,0,0,0
0,0,1,8/25/2010,2/17/2011,176,0,0,33,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,1,1,0,0,2,1,30,31,18,1,0,0,1,0,0
0,0,0,7/22/2010,8/8/2011,382,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,0,0,0,0,0,0,21,0,31,32,0,0,674,0,0,0,1
0,1,1,9/3/2010,10/29/2010,56,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,1,23,23,0,0,0,0,0,0,0
0,1,1,3/13/2014,5/19/2014,67,0,0,-99,7,0,0,1,1,2,3,0,-1,0,0,0,0,0,1,1,2,0,1,59,59,6,0,0,0,1,0,0
0,1,0,8/6/2010,8/6/2010,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,1,39,39,0,0,0,0,0,0,0
0,1,0,8/2/2010,8/2/2010,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,1,67,67,0,0,0,0,0,0,0
0,0,1,8/2/2010,9/29/2010,58,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,22,23,0,0,0,0,0,0,0
0,1,0,8/2/2010,10/13/2010,72,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,0,0,0,0,21,21,1,0,0,0,0,0,0
1,1,0,10/22/2010,2/14/2011,115,0,0,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,1,1,0,0,2,0,41,42,10,3,0,0,0,0,0
0,1,1,9/10/2010,11/5/2010,56,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,1,1,0,0,0,0,33,33,1,4,1600,1600,0,0,0
0,1,0,8/3/2010,11/29/2010,118,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,1,0,0,0,53,53,9,0,0,0,0,0,0
0,0,1,8/11/2010,9/9/2010,29,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,1,1,1,0,0,0,33,34,20,2,0,0,0,0,0
0,0,0,8/3/2010,12/1/2010,120,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,48,49,0,0,0,0,0,0,0
0,1,1,8/4/2010,5/10/2011,279,1,0,25,-99,-99,-99,-99,-99,-99,-99,-99,-1,0,0,1,0,0,1,1,0,5,0,39,39,12,0,1255,1255,0,0,0
1,0,1,8/11/2010,9/13/2010,33,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,0,1,0,0,0,1,22,23,4,0,0,0,0,0,0
